title,URL Link,Description,Objectives,Lecture Duration (hh:mm:ss),CME Credits,Teacher Name
B Cell Functions (part 6),https://members.drbeen.com/view/b-cell-functions-part-6/BkYqofCuhgW,,,00:15:23,0.75,"Mobeen Syed, MD"
B Cell Functions (part 7),https://members.drbeen.com/view/b-cell-functions-part-7/B1qqjMAuhe-,,,00:15:19,0.75,"Mobeen Syed, MD"
B Cell Functions (part 8),https://members.drbeen.com/view/b-cell-functions-part-8/HyoqjfAOhxW,,,00:13:35,0.5,"Mobeen Syed, MD"
B Cell Functions (part 9),https://members.drbeen.com/view/b-cell-functions-part-9/BJh9jGCunlZ,,,00:13:48,0.5,"Mobeen Syed, MD"
B Cell Functions (part 10),https://members.drbeen.com/view/b-cell-functions-part-10/BkpcoGRO3g-,,,00:09:50,0.5,"Mobeen Syed, MD"
Immunoglobulins (part 1),https://members.drbeen.com/view/immunoglobulins-part-1/rJR5ofCOneW,,,00:04:51,0.5,"Mobeen Syed, MD"
Immunoglobulins (part 2),https://members.drbeen.com/view/immunoglobulins-part-2/Byyisz0unxb,,,00:15:40,0.75,"Mobeen Syed, MD"
Immunoglobulins (part 3),https://members.drbeen.com/view/immunoglobulins-part-3/BJljsz0uhgZ,,,00:18:57,0.75,"Mobeen Syed, MD"
Immunoglobulins (part 4),https://members.drbeen.com/view/immunoglobulins-part-4/H1bjiMAunlW,,,00:16:12,0.75,"Mobeen Syed, MD"
Immunoglobulins (part 5),https://members.drbeen.com/view/immunoglobulins-part-5/r1MsiGA_2l-,,,00:20:00,0.75,"Mobeen Syed, MD"
Immunoglobulins (part 6),https://members.drbeen.com/view/immunoglobulins-part-6/r1QosGCOnxb,,,00:18:12,0.75,"Mobeen Syed, MD"
Immunoglobulins (part 7),https://members.drbeen.com/view/immunoglobulins-part-7/HyNiizC_3gW,,,00:08:20,0.5,"Mobeen Syed, MD"
Complement System,https://members.drbeen.com/view/complement-system/rJrijG0d3xb,,,01:00:59,1.5,"Mobeen Syed, MD"
Type III Hypersensitivity Reactions (part 2),https://members.drbeen.com/view/type-iii-hypersensitivity-reactions-part-2/HktsszCd2xZ,,,00:04:55,0.5,"Mobeen Syed, MD"
Type III Hypersensitivity Reactions (part 3),https://members.drbeen.com/view/type-iii-hypersensitivity-reactions-part-3/S19sjf0_3lZ,,,00:04:55,0.5,"Mobeen Syed, MD"
Type III Hypersensitivity Reactions (part 4),https://members.drbeen.com/view/type-iii-hypersensitivity-reactions-part-4/r1jjszRd3eW,,,00:04:55,0.5,"Mobeen Syed, MD"
Type III Hypersensitivity Reactions (part 5),https://members.drbeen.com/view/type-iii-hypersensitivity-reactions-part-5/r1hisG0une-,,,00:04:55,0.5,"Mobeen Syed, MD"
Type III Hypersensitivity Reactions (part 6),https://members.drbeen.com/view/type-iii-hypersensitivity-reactions-part-6/BJaiifROhx-,,,00:04:06,0.5,"Mobeen Syed, MD"
Type IV Hypersensitivity Reactions,https://members.drbeen.com/view/type-iv-hypersensitivity-reactions/ryRssf0u2lb,,,00:32:59,1,"Mobeen Syed, MD"
Tumor Immunity,https://members.drbeen.com/view/tumor-immunity/Sk12izAOnl-,,,00:26:11,0.75,"Mobeen Syed, MD"
Immune Pharmacology,https://members.drbeen.com/view/immune-pharmacology/HJZ3ofRu3eb,,,00:10:49,0.5,"Mobeen Syed, MD"
Type 1 Hypersensitivity Reactions - Allergies (urdu-Hindi),https://members.drbeen.com/view/type-1-hypersensitivity-reactions-allergies-urdu-hindi/ryMnjM0Onl-,,,00:58:24,1.25,"Mobeen Syed, MD"
Corynebacterium Diptheriae ,https://members.drbeen.com/view/corynebacterium-diptheriae/SkK3oGCunxW,"Gram +ive, nonspore forming rods. Usually arranged in V or L-shaped. These rods are club-shaped with beady appearance. Beads are filled with highly polymerized polyphosphate. This is how high energy phosphate bonds are stored. These beads appear metachromatic. Metachromatic means that these beads appear red when stained with a dye that stains the rest of the cell blue...\nFollowing topics are presented:\n*Properties\n*Target Population\n*Mode of Transmission\n*Pathogenesis\n*The mechanism of exotoxin\n*Clinical Findings\n*Complications\n*Treatment\n*Culture","Gram +ive, nonspore forming rods. Usually arranged in V or L-shaped. These rods are club-shaped with beady appearance. Beads are filled with highly polymerized polyphosphate. This is how high energy phosphate bonds are stored. These beads appear metachromatic. Metachromatic means that these beads appear red when stained with a dye that stains the rest of the cell blue...\nFollowing topics are presented:\n*Properties\n*Target Population\n*Mode of Transmission\n*Pathogenesis\n*The mechanism of exotoxin\n*Clinical Findings\n*Complications\n*Treatment\n*Culture",00:03:39,0.5,"Mobeen Syed, MD"
Hyperkalemia and its management,https://members.drbeen.com/view/hyperkalemia-and-its-management/r10niGRdhgb,"In this video, we discuss the physiology of potassium homeostasis as well as the mechanisms used by the body to maintain a stable potassium concentration. Three clinical examples of hyperkalemia are noted. The acute and subacute management of this life-threatening disorder is discussed.","In this video, we discuss the physiology of potassium homeostasis as well as the mechanisms used by the body to maintain a stable potassium concentration. Three clinical examples of hyperkalemia are noted. The acute and subacute management of this life-threatening disorder is discussed.",00:46:09,1.25,Luis A Verduzco M.D.
"Cardiac Drugs: Inotropes, Vasopressors, and Vasodilators Part 2",https://members.drbeen.com/view/cardiac-drugs-inotropes-vasopressors-and-vasodilators-part-2/ByZ6jM0_2l-,"In this lecture, we review the physiology of cardiac contraction and the cellular mechanisms involved in that process, including adrenergic receptors. Multiple inotropic and vasoactive agents are discussed in detail. Clinical examples are provided at the end of the lecture","In this lecture, we review the physiology of cardiac contraction and the cellular mechanisms involved in that process, including adrenergic receptors. Multiple inotropic and vasoactive agents are discussed in detail. Clinical examples are provided at the end of the lecture",00:48:59,1.25,Luis A Verduzco M.D.
First Session-Renal Physiology: (part 1),https://members.drbeen.com/view/first-session-renal-physiology-part-1/rJKasGRO2lb,,,00:09:59,0.5,"Mobeen Syed, MD"
First Session-Renal Physiology: (part 2),https://members.drbeen.com/view/first-session-renal-physiology-part-2/rJ9pizAOhxb,,,00:09:59,0.5,"Mobeen Syed, MD"
First Session-Renal Physiology: (part 3),https://members.drbeen.com/view/first-session-renal-physiology-part-3/Sys6ozAOneb,,,00:09:59,0.5,"Mobeen Syed, MD"
First Session-Renal Physiology: (part 4),https://members.drbeen.com/view/first-session-renal-physiology-part-4/BJn6jM0_2xZ,,,00:09:59,0.5,"Mobeen Syed, MD"
First Session-Renal Physiology: (part 5),https://members.drbeen.com/view/first-session-renal-physiology-part-5/Hyp6iMAd3lb,,,00:04:21,0.5,"Mobeen Syed, MD"
Second Session-Renal Physiology: (part 1),https://members.drbeen.com/view/second-session-renal-physiology-part-1/ByR6sfRdheW,,,00:09:59,0.5,"Mobeen Syed, MD"
Second Session-Renal Physiology: (part 2),https://members.drbeen.com/view/second-session-renal-physiology-part-2/HyJCjz0O3gZ,,,00:09:59,0.5,"Mobeen Syed, MD"
Second Session-Renal Physiology: (part 3),https://members.drbeen.com/view/second-session-renal-physiology-part-3/Skl0ozRd2gZ,,,00:09:59,0.5,"Mobeen Syed, MD"
Second Session-Renal Physiology: (part 4),https://members.drbeen.com/view/second-session-renal-physiology-part-4/BkbRoz0une-,,,00:08:51,0.5,"Mobeen Syed, MD"
Fundametal of Renal System Lecture 2 Part 4/6,https://members.drbeen.com/view/fundametal-of-renal-system-lecture-2-part-46/HyMAoMAdheW,,,00:09:59,0.5,"Mobeen Syed, MD"
Fundametal of Renal System Lecture 2 Part 5/6,https://members.drbeen.com/view/fundametal-of-renal-system-lecture-2-part-56/ByX0oz0_2xZ,,,00:10:00,0.5,"Mobeen Syed, MD"
Fundametal of Renal System Lecture 2 Part 6/6,https://members.drbeen.com/view/fundametal-of-renal-system-lecture-2-part-66/ryV0sf0_3lZ,,,00:07:11,0.5,"Mobeen Syed, MD"
Third Session-Renal Physiology: (part 1),https://members.drbeen.com/view/third-session-renal-physiology-part-1/SyrAsz0_ngb,,,00:09:59,0.5,"Mobeen Syed, MD"
Third Session-Renal Physiology: (part 2),https://members.drbeen.com/view/third-session-renal-physiology-part-2/BJUAoz0d2lW,,,00:09:59,0.5,"Mobeen Syed, MD"
Third Session-Renal Physiology: (part 3),https://members.drbeen.com/view/third-session-renal-physiology-part-3/Bkv0jz0dnxb,,,00:00:54,0.5,"Mobeen Syed, MD"
Fourth Session-Renal Physiology: (part 1),https://members.drbeen.com/view/fourth-session-renal-physiology-part-1/Hy_AofAd2e-,,,00:09:59,0.5,"Mobeen Syed, MD"
Fourth Session-Renal Physiology: (part 2),https://members.drbeen.com/view/fourth-session-renal-physiology-part-2/ryK0sf0u2lZ,,,00:09:59,0.5,"Mobeen Syed, MD"
Fourth Session-Renal Physiology: (part 3),https://members.drbeen.com/view/fourth-session-renal-physiology-part-3/rJ9RjzAdnxW,,,00:09:59,0.5,"Mobeen Syed, MD"
Fourth Session-Renal Physiology: (part 4),https://members.drbeen.com/view/fourth-session-renal-physiology-part-4/rki0iz0O3lZ,,,00:09:59,0.5,"Mobeen Syed, MD"
Fourth Session-Renal Physiology: (part 5),https://members.drbeen.com/view/fourth-session-renal-physiology-part-5/rJnRiGRd3gZ,,,00:09:54,0.5,"Mobeen Syed, MD"
Fifth Session-Renal Physiology: (part 1),https://members.drbeen.com/view/fifth-session-renal-physiology-part-1/BkT0oMAu2lb,,,00:09:59,0.5,"Mobeen Syed, MD"
Fifth Session-Renal Physiology: (part 2),https://members.drbeen.com/view/fifth-session-renal-physiology-part-2/SJCRoGAd2eb,,,00:09:59,0.5,"Mobeen Syed, MD"
Fifth Session-Renal Physiology: (part 3),https://members.drbeen.com/view/fifth-session-renal-physiology-part-3/HJyyliG0Ohxb,,,00:09:59,0.5,"Mobeen Syed, MD"
Fifth Session-Renal Physiology: (part 4),https://members.drbeen.com/view/fifth-session-renal-physiology-part-4/SJgkesMAd2lW,,,00:09:59,0.5,"Mobeen Syed, MD"
Fifth Session-Renal Physiology: (part 5),https://members.drbeen.com/view/fifth-session-renal-physiology-part-5/By-JeozRO3l-,,,00:10:00,0.5,"Mobeen Syed, MD"
Fifth Session-Renal Physiology: (part 6),https://members.drbeen.com/view/fifth-session-renal-physiology-part-6/rJf1eofRuhl-,,,00:01:47,0.5,"Mobeen Syed, MD"
Sixth Session-Renal Physiology,https://members.drbeen.com/view/sixth-session-renal-physiology/HkXklsMAdngW,,,00:13:25,0.5,"Mobeen Syed, MD"
Renal System Fundamentals: Glomerular Filtration Rate (GFR) (part 1),https://members.drbeen.com/view/renal-system-fundamentals-glomerular-filtration-rate-gfr-part-1/rJNyxofCdhl-,,,00:09:59,0.5,"Mobeen Syed, MD"
Renal System Fundamentals: Glomerular Filtration Rate (GFR) (part 2),https://members.drbeen.com/view/renal-system-fundamentals-glomerular-filtration-rate-gfr-part-2/rkr1xoMRdnxb,,,00:09:59,0.5,"Mobeen Syed, MD"
Renal System Fundamentals: Glomerular Filtration Rate (GFR) (part 3),https://members.drbeen.com/view/renal-system-fundamentals-glomerular-filtration-rate-gfr-part-3/r1IJxsMRu2l-,,,00:09:59,0.5,"Mobeen Syed, MD"
Renal System Fundamentals: Glomerular Filtration Rate (GFR) (part 4),https://members.drbeen.com/view/renal-system-fundamentals-glomerular-filtration-rate-gfr-part-4/r1vkxjMAu3xW,,,00:09:59,0.5,"Mobeen Syed, MD"
Renal System Fundamentals: Glomerular Filtration Rate (GFR) (part 5),https://members.drbeen.com/view/renal-system-fundamentals-glomerular-filtration-rate-gfr-part-5/H1_1loGCO2gb,,,00:03:35,0.5,"Mobeen Syed, MD"
Renal System Fundamentals: Glomerular Filtration Rate (GFR) (part 6),https://members.drbeen.com/view/renal-system-fundamentals-glomerular-filtration-rate-gfr-part-6/BJKkxofAOhlb,,,00:02:53,0.5,"Mobeen Syed, MD"
Renal System Fundamentals: Glomerular Filtration Rate (GFR) (part 7),https://members.drbeen.com/view/renal-system-fundamentals-glomerular-filtration-rate-gfr-part-7/ry5JgiGAungW,,,00:09:59,0.5,"Mobeen Syed, MD"
Renal System Fundamentals: Glomerular Filtration Rate (GFR) (part 8),https://members.drbeen.com/view/renal-system-fundamentals-glomerular-filtration-rate-gfr-part-8/Hki1xszRd3eZ,,,00:09:59,0.5,"Mobeen Syed, MD"
Renal System Fundamentals: Glomerular Filtration Rate (GFR) (part 9),https://members.drbeen.com/view/renal-system-fundamentals-glomerular-filtration-rate-gfr-part-9/Skn1gsfAO2xb,,,00:09:59,0.5,"Mobeen Syed, MD"
Renal System Fundamentals: Glomerular Filtration Rate (GFR) (part 10),https://members.drbeen.com/view/renal-system-fundamentals-glomerular-filtration-rate-gfr-part-10/H1TJlsfR_hg-,,,00:09:59,0.5,"Mobeen Syed, MD"
Renal System Fundamentals: Glomerular Filtration Rate (GFR) (part 11),https://members.drbeen.com/view/renal-system-fundamentals-glomerular-filtration-rate-gfr-part-11/rJC1gozRd2eW,,,00:10:00,0.5,"Mobeen Syed, MD"
Renal System Fundamentals: Glomerular Filtration Rate (GFR) (part 12),https://members.drbeen.com/view/renal-system-fundamentals-glomerular-filtration-rate-gfr-part-12/B1yxlsz0OnxZ,,,00:04:32,0.5,"Mobeen Syed, MD"
Renal System Fundamentals: Glomerular Filtration Rate (GFR) (part 13),https://members.drbeen.com/view/renal-system-fundamentals-glomerular-filtration-rate-gfr-part-13/BygexjfAOnlZ,,,00:09:59,0.5,"Mobeen Syed, MD"
Renal System Fundamentals: Glomerular Filtration Rate (GFR) (part 14),https://members.drbeen.com/view/renal-system-fundamentals-glomerular-filtration-rate-gfr-part-14/SybeloG0_3eb,,,00:06:58,0.5,"Mobeen Syed, MD"
Second Session Renal System Fundamentals: (part 1),https://members.drbeen.com/view/second-session-renal-system-fundamentals-part-1/ryfxgjGAuhe-,,,00:09:59,0.5,"Mobeen Syed, MD"
Second Session Renal System Fundamentals: (part 2),https://members.drbeen.com/view/second-session-renal-system-fundamentals-part-2/BkXgxiMC_2l-,,,00:09:59,0.5,"Mobeen Syed, MD"
Second Session Renal System Fundamentals: (part 3),https://members.drbeen.com/view/second-session-renal-system-fundamentals-part-3/SJNlxifAd2x-,,,00:07:44,0.5,"Mobeen Syed, MD"
Third Session Renal System Fundamentals: (part 1),https://members.drbeen.com/view/third-session-renal-system-fundamentals-part-1/rySeeizR_2xb,,,00:09:59,0.5,"Mobeen Syed, MD"
Third Session Renal System Fundamentals: (part 2),https://members.drbeen.com/view/third-session-renal-system-fundamentals-part-2/ry8gxjzRdhx-,,,00:09:59,0.5,"Mobeen Syed, MD"
Third Session Renal System Fundamentals: (part 3),https://members.drbeen.com/view/third-session-renal-system-fundamentals-part-3/ByPlgiz0u2l-,,,00:09:59,0.5,"Mobeen Syed, MD"
Third Session Renal System Fundamentals: (part 4),https://members.drbeen.com/view/third-session-renal-system-fundamentals-part-4/H1dglifAungW,,,00:09:59,0.5,"Mobeen Syed, MD"
Third Session Renal System Fundamentals: (part 5),https://members.drbeen.com/view/third-session-renal-system-fundamentals-part-5/Bktexif0OneZ,,,00:08:54,0.5,"Mobeen Syed, MD"
Cystic Fibrosis,https://members.drbeen.com/view/cystic-fibrosis/S1ileofAd2e-,This video presents Cystic Fibrosis a type of obstructive lung disease. Following topics are discussed: Definition Causes CFTR gene mutation and the sweat glands CFTR gene mutation and the pulmonary issues,This video presents Cystic Fibrosis a type of obstructive lung disease. Following topics are discussed: Definition Causes CFTR gene mutation and the sweat glands CFTR gene mutation and the pulmonary issues,00:16:08,0.75,"Mobeen Syed, MD"
Pneumoconioses,https://members.drbeen.com/view/pneumoconioses/S1CleiGR_hlb,This video presents a group of restrictive lung diseases called pneumoconiosis We will discuss: What diseases are part of this group Definition of the pneumoconiosis Non-neoplastic characteristics of these diseases Coal workers lungs Silicosis Asbestosis A brief mention of brylliosis,This video presents a group of restrictive lung diseases called pneumoconiosis We will discuss: What diseases are part of this group Definition of the pneumoconiosis Non-neoplastic characteristics of these diseases Coal workers lungs Silicosis Asbestosis A brief mention of brylliosis,00:25:24,0.75,"Mobeen Syed, MD"
Pneumonia Protection Mechanisms,https://members.drbeen.com/view/pneumonia-protection-mechanisms/B1lbgsM0_nxb,"This video introduced the normal protective mechanisms of the respiratoty system. Mechanism introduced are: Protections in the nose, mouth, pharynx, and upper airways Mucocilliary elevator Antibodies Macrophages Moisture on the airway surfaces Etc.","This video introduced the normal protective mechanisms of the respiratoty system. Mechanism introduced are: Protections in the nose, mouth, pharynx, and upper airways Mucocilliary elevator Antibodies Macrophages Moisture on the airway surfaces Etc.",00:19:44,0.75,"Mobeen Syed, MD"
Chronic Bronchitis and Bronchiolitis,https://members.drbeen.com/view/chronic-bronchitis-and-bronchiolitis/rkO-liM0dnlb,This video presents following topic COPD Definition CB Definition CB vs Bronchiolitis CB vs Emphysema Pathogenesis of Ch. Bronchitis Clinical Findings of Ch. Bronchitis Treatment of Ch. Bronchitis,This video presents following topic COPD Definition CB Definition CB vs Bronchiolitis CB vs Emphysema Pathogenesis of Ch. Bronchitis Clinical Findings of Ch. Bronchitis Treatment of Ch. Bronchitis,00:21:42,0.75,"Mobeen Syed, MD"
Asthma,https://members.drbeen.com/view/asthma/HknZlsf0_2g-,"In this video we present the following topics:\r\n\r\nDefinition of Asthma \r\nTriad of Events \r\nTypes Pathogenesis \r\nRole of allergens\r\nRole of Mast cells, T Cells, and B cells.\r\nRole of eosinophils, and neutrophils.\r\nRole of IL4, IL5, and other cytokines.\r\nRole of various chemokines.\r\nAirway Remodeling \r\nClinical Aspects","In this video we present the following topics:\r\n\r\nDefinition of Asthma \r\nTriad of Events \r\nTypes Pathogenesis \r\nRole of allergens\r\nRole of Mast cells, T Cells, and B cells.\r\nRole of eosinophils, and neutrophils.\r\nRole of IL4, IL5, and other cytokines.\r\nRole of various chemokines.\r\nAirway Remodeling \r\nClinical Aspects",00:32:42,1,"Mobeen Syed, MD"
Development of the Conduction System of the Heart,https://members.drbeen.com/view/development-of-the-conduction-system-of-the-heart/SkQGxiGROhlb,This video presents:\r\n\r\n1. Cells taking part in the development of the conduction system of the hear.\r\n\r\n2. Origin and development of the annulus fibrous (fibrous insulating ring).\r\n\r\n3. Formation of the conduction pathway.\r\n\r\n4. Difference of the His purkenje from the rest of the conduction system.,This video presents:\r\n\r\n1. Cells taking part in the development of the conduction system of the hear.\r\n\r\n2. Origin and development of the annulus fibrous (fibrous insulating ring).\r\n\r\n3. Formation of the conduction pathway.\r\n\r\n4. Difference of the His purkenje from the rest of the conduction system.,00:11:38,0.5,"Mobeen Syed, MD"
Ventricles and Aorticopulmonary Septum,https://members.drbeen.com/view/ventricles-and-aorticopulmonary-septum/B1HfejGRunxb,This video presents a) Development of the interventricular septum b) Development of the aorticopulmonary septum c) Clinical points related to these topics i) Patent truncus arteriosus ii) Transformation of the great artries iii) Tetralogy of fallot,This video presents a) Development of the interventricular septum b) Development of the aorticopulmonary septum c) Clinical points related to these topics i) Patent truncus arteriosus ii) Transformation of the great artries iii) Tetralogy of fallot,00:29:36,0.75,"Mobeen Syed, MD"
Atherosclerosis - Clinical Importance,https://members.drbeen.com/view/atherosclerosis-clinical-importance/B19GxozAO3eb,This video presents following topics about Atherosclerosis: Definition Epidemiology Risk factors Clinical aspects.,This video presents following topics about Atherosclerosis: Definition Epidemiology Risk factors Clinical aspects.,00:18:20,0.75,"Mobeen Syed, MD"
Atherosclerosis - Pathogenesis,https://members.drbeen.com/view/atherosclerosis-pathogenesis/Sy3zgiz0_3lb,This video presents following topics about Atherosclerosis: Cellular and chemical mechaisms of the atherosclerotic plaque development. Mechanism of damage that starts/accelerates atherosclerosis Initiation of the atherosclerosis Progression of the atherosclerosis Complications of the atherosclerosis,This video presents following topics about Atherosclerosis: Cellular and chemical mechaisms of the atherosclerotic plaque development. Mechanism of damage that starts/accelerates atherosclerosis Initiation of the atherosclerosis Progression of the atherosclerosis Complications of the atherosclerosis,00:25:17,0.75,"Mobeen Syed, MD"
High Output Cardiac Failure: Diagnosis and Discussion,https://members.drbeen.com/view/high-output-cardiac-failure-diagnosis-and-discussion/S1pMgjfAd2x-,This video presents following topics about the high output heart failure: Definition Factors that increase stroke volume e.g. hyperthyroidism. Factors that cause vasodilation e.g. wet beriberi. AV fistula e.g. in the knife wounds. Factors that reduce viscosity e.g. anemia.,This video presents following topics about the high output heart failure: Definition Factors that increase stroke volume e.g. hyperthyroidism. Factors that cause vasodilation e.g. wet beriberi. AV fistula e.g. in the knife wounds. Factors that reduce viscosity e.g. anemia.,00:09:40,0.5,"Mobeen Syed, MD"
Cardiac Murmurs,https://members.drbeen.com/view/cardiac-murmurs/S11mgiGR_2xW,This video presents: Pathology phase shape type munuver location and radiation of various murmurs. Murmurs covered are: Aortic Stenosis Aortic Regurge Mitral/Tricuspid Regurge Mitral Stenosis Mitral Prolapse Ventral Septal Defect Patent Ductus Arteriosis,This video presents: Pathology phase shape type munuver location and radiation of various murmurs. Murmurs covered are: Aortic Stenosis Aortic Regurge Mitral/Tricuspid Regurge Mitral Stenosis Mitral Prolapse Ventral Septal Defect Patent Ductus Arteriosis,00:40:49,1,"Mobeen Syed, MD"
Abnormal Sinus Rhythm,https://members.drbeen.com/view/abnormal-sinus-rhythm/SkbmesfCu2eW,This video presents the physiological arrythmias namely: Sinus tachycardia Sinus bradycardia Sinsu arrythmia associated with respiration We will discuss the reflexes that result in the cardiac rhytm change,This video presents the physiological arrythmias namely: Sinus tachycardia Sinus bradycardia Sinsu arrythmia associated with respiration We will discuss the reflexes that result in the cardiac rhytm change,00:29:58,0.75,"Mobeen Syed, MD"
First and Second Degree Heart Blocks,https://members.drbeen.com/view/first-and-second-degree-heart-blocks/BJf7xjfRunxb,This video discusses AV nodal blocks with following topics: First and second degree heart blocks Mobitz type I and type II heart blocks. Hay block.,This video discusses AV nodal blocks with following topics: First and second degree heart blocks Mobitz type I and type II heart blocks. Hay block.,00:11:44,0.5,"Mobeen Syed, MD"
Third Degree Heart Blocks,https://members.drbeen.com/view/third-degree-heart-blocks/Bym7gsz0dneZ,This video discusses: Third degree heart block Stoke adam syndrome Pathogenesis and ECG for these pathologies.,This video discusses: Third degree heart block Stoke adam syndrome Pathogenesis and ECG for these pathologies.,00:06:53,0.5,"Mobeen Syed, MD"
Electrical Alternans Purkinje Blocks,https://members.drbeen.com/view/electrical-alternans-purkinje-blocks/rkVXgszCu3xW,Cardiovascular System Pathology of Arrythmias: Electrical Alternans & Purkenje Block,Cardiovascular System Pathology of Arrythmias: Electrical Alternans & Purkenje Block,00:05:04,0.5,"Mobeen Syed, MD"
Fibrillation and Flutter,https://members.drbeen.com/view/fibrillation-and-flutter/SJrXxofRunlb,This video discusses following: Difference between fibrillatoin and flutter. Causes of fibrillation and flutter Mechanism of the circus movements. Causes of the circus movements. Causes of the torsades de pointes,This video discusses following: Difference between fibrillatoin and flutter. Causes of fibrillation and flutter Mechanism of the circus movements. Causes of the circus movements. Causes of the torsades de pointes,00:14:22,0.5,"Mobeen Syed, MD"
Premature Atrial Beats,https://members.drbeen.com/view/premature-atrial-beats/By8mxof0Oheb,This video presents the premature beats or extrasystoles generated due to pathologies in the atria. We will also review the ECG changes associated with atrial premature beats.,This video presents the premature beats or extrasystoles generated due to pathologies in the atria. We will also review the ECG changes associated with atrial premature beats.,00:11:10,0.5,"Mobeen Syed, MD"
Premature AV Nodal Junction Beats,https://members.drbeen.com/view/premature-av-nodal-junction-beats/BkPmgsGA_hxb,This video presents the premature beats or extrasystoles generated due to pathologies in the AV nodes. These extrasystoles are also called junctional extrasystoles. We will also explain the junctional rhytm vs junctional beat. We will also review the ECG changes associated with junctional premature beats.,This video presents the premature beats or extrasystoles generated due to pathologies in the AV nodes. These extrasystoles are also called junctional extrasystoles. We will also explain the junctional rhytm vs junctional beat. We will also review the ECG changes associated with junctional premature beats.,00:04:55,0.5,"Mobeen Syed, MD"
Premature Ventricular Beats Torsades  De Pointes,https://members.drbeen.com/view/premature-ventricular-beats-torsades-de-pointes/S1d7loGAd2x-,This video presents the premature beats or extrasystoles generated due to pathologies in the ventricular tissue. We will also review the ECG changes and explain the pathogenesis of the: Tall and wide QRS complexes. Inverted T waves Torsades De Pointes Long QT Syndrome,This video presents the premature beats or extrasystoles generated due to pathologies in the ventricular tissue. We will also review the ECG changes and explain the pathogenesis of the: Tall and wide QRS complexes. Inverted T waves Torsades De Pointes Long QT Syndrome,00:06:15,0.5,"Mobeen Syed, MD"
Hypertension - Complications,https://members.drbeen.com/view/hypertension-complications/rko7eoGAd3eW,This video presents the complications of the hypertension including: Hyaline damage Atherosclerosis due to shearing of the cells Onion skinning due to cell damage under pressure Charcot bouchard aneurysms Changes observed during the fundoscopy Hypertensive changes in the kidneys,This video presents the complications of the hypertension including: Hyaline damage Atherosclerosis due to shearing of the cells Onion skinning due to cell damage under pressure Charcot bouchard aneurysms Changes observed during the fundoscopy Hypertensive changes in the kidneys,00:16:37,0.75,"Mobeen Syed, MD"
Myocardial Infarction (MI) - Pathophysiology,https://members.drbeen.com/view/myocardial-infarction-mi-pathophysiology/BkT7xszCd2xW,This video discusses following topics: Definition of MI Types of MI Clinical presentation and variations Pathophysiology,This video discusses following topics: Definition of MI Types of MI Clinical presentation and variations Pathophysiology,00:35:29,1,"Mobeen Syed, MD"
Myocardial Infarction (MI) - Cellular Events and Complications,https://members.drbeen.com/view/myocardial-infarction-mi-cellular-events-and-complications/SkCQlifRu3lZ,"This video discusses following topics: Cellular and morphological events during the MI Diagnosis of an MI by the cardiac enzymes and EKG changes Management approach Complications including dressler's syndrome","This video discusses following topics: Cellular and morphological events during the MI Diagnosis of an MI by the cardiac enzymes and EKG changes Management approach Complications including dressler's syndrome",00:25:33,0.75,"Mobeen Syed, MD"
Metformin and General Considerations to Mange Type II Diabetes Mellitus (Managing Type II Diabetes Mellitus - Part 8. Webinar),https://members.drbeen.com/view/metformin-and-general-considerations-to-mange-type-ii-diabetes-mellitus-managing-type-ii-diabetes-mellitus-part-8-webinar/Bk-EljG0_3lb,Dr. Mobeen presents pharmacological therapies of type II diabetes mellitus. We will discuss a general approach to the management and then discuss the individual drugs for management of type II diabetes mellitus.,Dr. Mobeen presents pharmacological therapies of type II diabetes mellitus. We will discuss a general approach to the management and then discuss the individual drugs for management of type II diabetes mellitus.,00:47:37,1.25,"Mobeen Syed, MD"
Drug Classes to Manage Type II Diabetes Mellitus (Managing Type II Diabetes Mellitus - Part 7. Webinar),https://members.drbeen.com/view/drug-classes-to-manage-type-ii-diabetes-mellitus-managing-type-ii-diabetes-mellitus-part-7-webinar/SyzNgozCunlb,"Dr. Mobeen starts the discussion of the drugs prescribed for type II diabetes mellitus. Guidelines, indications, dosage and side effects are discussed.","Dr. Mobeen starts the discussion of the drugs prescribed for type II diabetes mellitus. Guidelines, indications, dosage and side effects are discussed.",00:40:48,1,"Mobeen Syed, MD"
Clinical Presentation of Type II Diabetes Mellitus (Managing Type II Diabetes Mellitus -  Part 5. Webinar),https://members.drbeen.com/view/clinical-presentation-of-type-ii-diabetes-mellitus-managing-type-ii-diabetes-mellitus-part-5-webinar/SyEVxsMAu3x-,We will discuss clinical signs and symptoms of type II diabetes mellitus. We will also examine the etiology of these clinical signs and symptoms.,We will discuss clinical signs and symptoms of type II diabetes mellitus. We will also examine the etiology of these clinical signs and symptoms.,00:44:09,1,"Mobeen Syed, MD"
Diabetic Tissue Damage (Managing Type II Diabetes Mellitus - Part 4. Webinar),https://members.drbeen.com/view/diabetic-tissue-damage-managing-type-ii-diabetes-mellitus-part-4-webinar/HkrEeoz0Onlb,"In this session Dr. Mobeen discusses how chronically elevated blood glucose levels cause tissue damage. Non-enzymatic glycation, PKC activation, and Polyol pathway complications leading to tissue damage are discussed.","In this session Dr. Mobeen discusses how chronically elevated blood glucose levels cause tissue damage. Non-enzymatic glycation, PKC activation, and Polyol pathway complications leading to tissue damage are discussed.",00:42:34,1,"Mobeen Syed, MD"
